node_id,stop_no,stop_name,elev_m,slope_pct,slope_pct_raw
100900077,01590,완성빌라,132.27228,6.6414766,5.2693477
100900078,01589,낙원상가,31.876987,9.365891,7.430898
100900079,01586,힐탑,191.15585,2.7036953,2.145112
100900080,01584,상명대후문,134.37009,10.138877,8.044185
100900081,01583,수운회관,30.499592,4.495053,3.5663748
100900082,01581,행촌주차장,104.10217,12.945317,10.270815
100900083,01580,화인빌라,187.6149,25.817665,20.483736
100900085,01578,서울대어린이병원응급실.갑상선센터,39.833275,4.3465605,3.4485612
100900086,01576,헌법재판소.안국역,35.445004,1.951274,1.5481409
100900088,01574,무악현대아파트후문,88.1743,12.928726,10.257651
100900089,01573,박종화고택입구,170.9365,22.660034,17.978472
100900090,01572,이화사거리,29.724506,16.848803,13.36784
100900091,01571,산정빌라,122.2609,28.210426,22.382153
100900092,01570,아름다운가게.정독도서관,38.410835,3.75884,2.9822638
100900093,01569,쌍용아파트입구.창신역,44.79088,20.288237,16.096687
100900094,01568,린덴바움숲유치원,72.53464,18.079367,14.34417
100900095,01567,보현산신각,178.05965,25.003122,19.837477
100900096,01566,원남로터리,28.445274,6.0078363,4.7666173
100900097,01565,구기빌라,96.04167,8.56122,6.792472
100900098,01795,평창동산림제3초소,239.27606,31.149216,24.713789
100900099,01793,통인시장.종로구보건소,45.11738,1.9914242,1.579996
100900100,01792,삼청파출소,44.44078,1.986925,1.5764263
100900101,01790,종로사우나,31.11119,2.780414,2.2059805
100900102,01776,종로도서관,59.884556,20.561716,16.313665
100900103,01732,평창공원지킴터입구,234.45424,22.425766,17.792603
100900104,01729,오거리.한옥마을입구,42.71099,2.5478017,2.021426
100900105,01728,정독도서관,40.988625,3.0338998,2.4070961
100900106,01727,인사동들머리.3.1독립선언터,26.824713,12.119118,9.615308
100900107,01725,종로5가역.중부교육지원청,27.88062,9.436738,7.4871078
100900108,01724,황학정앞,75.600624,12.403143,9.840653
100900109,01723,참샘골공원,206.33014,17.756601,14.088087
100900110,01722,성균관대학교,39.97772,9.015198,7.152658
100900111,01721,광화문새마을금고,41.822002,3.3280706,2.6404912
100900112,01714,상명초등학교,88.97628,14.808867,11.749355
100900113,01699,단군성전앞,70.86649,14.649087,11.622585
100900114,01698,무애사,198.03862,24.845047,19.71206
100900115,01684,서교빌라,100.842995,16.005104,12.698449
100900116,01683,종각역.YMCA,29.719913,7.5322495,5.9760866
100900117,01682,동대문역2번출구,24.251091,7.7975206,6.186553
100900118,01667,종로문화체육센터,81.347534,25.947224,20.586527
100900119,01607,EN갤러리,211.71169,23.524532,18.664364
100900120,01597,경진빌라,111.45661,29.716303,23.576916
100900121,01596,종로2가.탑골공원,27.4121,3.90086,3.0949423
100900122,01825,창신초교,26.28086,1.2076355,0.958138
